"","year","B. eriopoda","Shrubs","Other"
"1",1915,0.0924883288888889,0.000337775925925926,0.00955993444444444
"2",1916,0.0698133318202648,0.000132782727272727,0.0125803845433764
"3",1917,0.0498388418681432,0.000191049393939394,0.0061758942930589
"4",1918,0.0304906682833836,0.000133846060606061,0.00368293328289262
"5",1919,0.0467073484225267,0.000523716829268293,0.00575084304830222
"6",1920,0.0504776927912457,0.000346732926829268,0.00516825999832468
"7",1921,0.0465437623121963,0.000442850975609756,0.00611301024286422
"8",1922,0.0111696408508201,7.26219512195122e-06,0.00151642560865349
"9",1923,0.0111062178528302,0.000192113414634146,0.00410714614729912
"10",1924,0.0169440617639718,0.00031909119047619,0.0073339398599406
"11",1925,0.013206648438298,0.000201191666666667,0.00770844700862803
"12",1926,0.0270927280146735,0.000224498958333333,0.0147625587721238
"13",1927,0.0526567061654424,0.00026632,0.0146435207216512
"14",1928,0.062877931498484,0.000523067666666667,0.0133914175020427
"15",1929,0.0843682321059025,0.000956978524590164,0.016417921802296
"16",1930,0.0766419342991168,0.000437,0.010436191721343
"17",1931,0.075418773026605,0.000620246885245902,0.00905853442501974
"18",1932,0.0947937462260145,0.00156390327868852,0.00980980860622457
"19",1933,0.0922669641886115,0.00121259344262295,0.0108878255710307
"20",1934,0.0612965591786188,0.000905524426229508,0.00658923114748592
"21",1935,0.0566963896694426,0.00226280606557377,0.00708294237822654
"22",1936,0.0446986686288238,0.00188176259089968,0.00649084156812112
"23",1937,0.0477573538234886,0.00284159780444965,0.00799529076308669
"24",1938,0.0558015162317908,0.00187477867388759,0.011178121017468
"25",1939,0.0448203212559567,0.00167052593676815,0.00994122455331848
"26",1940,0.0476661005400396,0.00143325680620609,0.00976079821029501
"27",1941,0.0536532684312737,0.00101495915105386,0.00910645830268887
"28",1942,0.0921512695152815,0.00515656395491803,0.0122357082680551
"29",1943,0.0567569189848606,0.00367075646370023,0.00629616626990612
"30",1944,0.0610500588272466,0.00329870448477752,0.00787458828803506
"31",1945,0.0711279296072985,0.00462423357142857,0.00829159608406001
"32",1946,0.0726311029938794,0.00773853274004684,0.0101000955600147
"33",1947,0.0694157852921905,0.0118795684660422,0.0113473627830599
"34",1948,0.0590124931099674,0.0140591652302888,0.00802836832005249
"35",1949,0.0520896236219379,0.0158906792896175,0.00550777172671787
"36",1950,0.0302037323350665,0.00816970426229508,0.00354278274167558
"37",1951,0.0232930540817005,0.00860944012942192,0.00288852053627582
"38",1952,0.00903324668765824,0.0133888246850733,0.00198796789775459
"39",1953,0.00916001427742648,0.0133479173315,0.00266261794568547
"40",1954,0.00683808662129308,0.0138901921090743,0.00369935761110268
"41",1955,0.00597906716188099,0.0146044668866485,0.00492040137488056
"42",1956,0.00523627737466474,0.0144138710358074,0.00607222360856258
"43",1957,0.00389493361863294,0.0264817856767696,0.00587158903861454
"44",1958,0.00617244650078558,0.0317956117931417,0.00877719681817702
"45",1959,0.00642163470991648,0.0350133528891706,0.00993875500490931
"46",1960,0.00688050084787624,0.0260679091485298,0.0108760501933793
"47",1961,0.0071632527925598,0.0256320881258538,0.0108056370437061
"48",1962,0.0105428965018908,0.0287832313070653,0.0143746167548342
"49",1965,0.00938469509001665,0.0382458664958611,0.0154180712509587
"50",1966,0.0104218798249056,0.0407579248556291,0.0156345138032957
"51",1967,0.00840491932604394,0.0411041662574886,0.0143295701411933
"52",1968,0.00772702914976292,0.0415014560464449,0.0137272327694135
"53",1969,0.00702144316764432,0.036622924504756,0.0111578883072712
"54",1970,0.00886098694490632,0.0368432949586435,0.0157717893405391
"55",1971,0.00776667060357273,0.0266740796867246,0.0179365620676403
"56",1972,0.00421873966418008,0.0506667365384615,0.0192245846990137
"57",1973,0.00629842606635513,0.0652607764143921,0.025361030004019
"58",1974,0.00933007504917534,0.0545832733870968,0.0326868101477341
"59",1975,0.0125488904862835,0.0537908056451613,0.0424876402158986
"60",1976,0.00812717556808289,0.0503768417741935,0.0293165466812352
"61",1977,0.00678394282439955,0.0442317348387097,0.0322600318924298
"62",1978,0.00655063715147909,0.0442872917741935,0.033773336078596
"63",1979,0.00668330667930348,0.0443432519354839,0.0364457595035819
"64",1980,0.00719862507809561,0.0443432519354839,0.0375937029823313
