"","year","Max_Temp","Summer_Precip","Max_Temp_5","Summer_Precip_5"
"1",1915,30.968253968254,90.678,NA,NA
"2",1916,31.5692007797271,62.23,31.9347484746798,97.8916
"3",1917,33.2051282051282,40.386,32.1814384013214,95.1992
"4",1919,31.6666666666667,192.278,32.4659020857851,87.1728
"5",1920,33.4979423868313,90.424,33.1926263037374,85.1408
"6",1921,32.3905723905724,50.546,32.9620581790517,94.0308
"7",1922,35.2028218694885,52.07,33.4682310185578,75.2348
"8",1923,32.0522875816993,84.836,33.5005265991626,76.2508
"9",1924,34.1975308641975,98.298,33.5913986900347,107.1372
"10",1925,33.6594202898551,95.504,33.0894816591321,128.8796
"11",1926,32.8449328449328,204.978,33.2703821674836,131.4704
"12",1927,32.6932367149758,160.782,32.8733363121044,126.2888
"13",1928,32.9567901234568,97.79,32.777153529179,122.682
"14",1930,32.2123015873016,72.39,32.8985130439811,97.3328
"15",1931,33.1785063752277,77.47,33.269285990841,74.0156
"16",1933,33.4517304189435,78.232,33.0257540531062,88.9508
"17",1934,34.5471014492754,44.196,32.8131263079442,103.2764
"18",1935,31.7391304347826,172.466,33.18459349168,89.5096
"19",1936,31.1491628614916,144.018,32.6991856794962,119.6848
"20",1937,35.0358422939068,8.636,32.3682678051001,131.9784
"21",1938,31.0246913580247,229.108,32.5808281915735,120.65
"22",1939,32.8925120772947,105.664,32.7217821361291,126.2888
"23",1940,32.8019323671498,115.824,32.2097827594734,149.8092
"24",1941,31.8539325842697,172.212,32.7282744395593,124.6632
"25",1942,32.475845410628,126.238,32.7669217825544,127.508
"26",1943,33.6171497584541,103.378,32.9589507680617,115.3668
"27",1944,33.0857487922705,119.888,33.2512077294686,119.38
"28",1945,33.762077294686,55.118,33.745456636761,112.2172
"29",1946,33.3152173913044,192.278,33.5541254505023,118.7704
"30",1947,34.9470899470899,90.424,34.0782800398742,101.6508
"31",1950,32.6604938271605,136.144,34.2591979142704,104.902
"32",1951,35.7065217391304,34.29,34.6165886633403,70.866
"33",1952,34.6666666666667,71.374,34.4459537427054,70.7136
"34",1953,35.1021711366539,22.098,34.5704206338389,57.3532
"35",1954,34.0939153439153,89.662,34.2488693724326,65.2272
"36",1955,33.2828282828283,69.342,34.0029597265229,82.55
"37",1956,34.0987654320988,73.66,33.851878368545,111.0488
"38",1957,33.4371184371184,157.988,33.8010277892134,127.8128
"39",1958,34.3467643467643,164.592,34.0801346472677,125.6284
"40",1959,33.8396624472574,173.482,33.8368521490832,151.1808
"41",1960,34.6783625730994,58.42,33.8370291057819,157.226
"42",1961,32.8823529411765,201.422,34.0015745415138,134.5184
"43",1962,33.4380032206119,188.214,34.0140972060114,129.6416
"44",1963,35.1694915254237,51.054,33.897869135836,132.2324
"45",1964,33.9022757697456,149.098,34.0524591536613,109.7788
"46",1965,34.0972222222222,71.374,33.9478650454866,91.7448
"47",1966,33.655303030303,89.154,33.4536492800844,100.2284
"48",1967,32.9150326797386,98.044,33.5156849686261,97.3328
"49",1968,32.6984126984127,93.472,33.3481816219059,95.9104
"50",1969,34.2124542124542,134.62,33.1832585819829,97.79
"51",1970,33.2597054886212,64.262,32.9997526702549,111.3028
"52",1971,32.8306878306878,98.552,33.1400218213936,114.808
"53",1972,31.9975031210986,165.608,32.4883522349414,139.8524
"54",1973,33.3997584541063,110.998,32.3074256299708,159.9184
"55",1974,30.9541062801932,259.842,32.2642349237366,170.6372
"56",1975,32.3550724637681,164.592,32.7934782608696,157.48
"57",1976,32.6147342995169,152.146,32.6397780962998,165.9128
"58",1977,34.6437198067633,99.822,33.3342027419005,135.636
"59",1978,32.6312576312576,153.162,33.6914710774297,123.7488
"60",1979,34.4262295081967,108.458,33.6866401595553,124.7648
"61",1980,34.1414141414141,105.156,33.4073484673733,137.3632
"62",1981,32.5905797101449,157.226,33.5930310975003,115.1128
"63",1982,33.2472613458529,162.814,33.1971734605302,144.8816
"64",1983,33.559670781893,41.91,33.0585041588174,158.2928
"65",1984,32.4469413233458,257.302,33.0025094289096,150.7236
"66",1985,33.4480676328502,172.212,32.8066519309809,142.1384
"67",1986,32.3106060606061,119.38,32.3569399968245,155.956
"68",1987,32.2679738562092,119.888,32.2353138604808,130.302
"69",1988,31.3111111111111,110.998,31.7104943414014,125.984
"70",1989,31.8388106416275,129.032,31.2406211912957,134.2136
"71",1990,30.8239700374532,150.622,31.2996526826801,125.476
"72",1991,29.9612403100775,160.528,31.4621843282498,127.254
"73",1992,32.5631313131313,76.2,32.0241795434747,118.9228
"74",1993,32.1237693389592,119.888,32.542655012357,114.9096
"75",1994,34.6487867177522,87.376,33.06543963008,122.8344
"76",1995,33.4163473818646,130.556,33.2491957963943,147.4216
"77",1996,32.5751633986928,200.152,33.6708068120044,139.7508
"78",1997,33.4819121447028,199.136,33.2213913487959,144.9832
"79",1998,34.2318244170096,81.534,33.3983369261864,129.794
"80",1999,32.4017094017094,113.538,33.7286201505872,108.7628
"81",2000,34.3010752688172,54.61,33.7158535408557,98.7552
"82",2001,34.2265795206972,94.996,33.8384429058198,87.9348
"83",2002,33.4180790960452,149.098,33.8074474307067,94.6912
"84",2003,34.8447712418301,27.432,33.8103276150385,91.1352
"85",2004,32.2467320261438,147.32,33.1336864096942,113.284
"86",2005,34.3154761904762,36.83,33.0834039238185,116.2812
"87",2006,30.8433734939759,205.74,32.2630004000902,166.1668
"88",2007,33.1666666666667,164.084,32.4815691009788,156.718
"89",2008,30.7427536231884,276.86,32.3549410993508,172.5168
"90",2009,33.3395755305868,100.076,33.1635391278283,151.9936
"91",2010,33.6823361823362,115.824,33.1315129840375,129.54
"92",2011,34.8863636363636,103.124,33.352055490562,117.094
"93",2012,33.0065359477124,51.816,33.2521959400002,130.7084
"94",2013,31.845466155811,214.63,33.3090103572797,137.1092
"95",2014,32.8402777777778,168.148,33.1146239646175,129.9972
"96",2015,33.9664082687339,147.828,33.134894874914,154.8892
